ean;brutto;id
"""8595602545841""";13,37;43722
"""8595602545834""";13,37;43720
"""8595602545827""";13,37;43721
"""8595602545810""";13,37;43723
"""8595602521371""";3,77;
"""8595602521395""";3,77;
"""8595602539413""";3,77;
"""8595602539420""";3,77;
"""8595602539437""";3,77;
"""8595602521388""";3,77;
"""8595602521432""";3,77;
"""8595602521425""";3,77;
"""8595602521449""";3,77;
"""8595602521463""";3,77;
"""8595602521470""";3,77;
"""8595602538270""";3,77;
"""8595602545506""";3,24;
"""8595602545520""";3,24;
"""8595602545544""";3,24;
"""8595602545513""";3,24;
"""8595602545537""";3,24;
"""8595602545490""";3,24;
"""8595602541706""";26,27;
"""8595602541195""";2,38;42499
"""8595602540518""";2,38;42502
"""8595602540532""";2,38;42505
"""8595602540525""";2,38;42504
"""8595602540488""";2,38;42498
"""8595602540501""";2,38;42500
"""8595602541690""";26,27;
"""8595602540563""";2,38;
"""8595602540587""";2,38;
"""8595602540594""";2,38;49905
"""8595602540549""";2,38;
"""8595602540570""";2,38;
"""8595602540556""";2,38;
"""8595602540839""";10,03;43647
"""8595602540822""";41,65;43646
"""8595602540815""";101,41;43645
"""8595602540891""";10,81;43653
"""8595602540884""";43,71;43652
"""8595602540877""";108,51;43651
"""8595602540860""";10,03;43650
"""8595602540853""";41,65;43649
"""8595602540846""";101,41;43648
"""8595602540686""";10,03;43631
"""8595602540679""";41,65;43629
"""8595602540662""";101,41;43630
"""8595602540921""";10,81;43656
"""8595602540914""";43,71;43655
"""8595602540907""";108,51;43654
"""8595602540952""";10,03;43659
"""8595602540945""";41,65;43658
"""8595602540938""";101,41;43657
"""8595602540716""";10,81;43634
"""8595602540709""";43,71;43633
"""8595602540693""";108,51;43632
"""8595602540778""";11,76;43641
"""8595602540761""";45,72;43640
"""8595602540754""";112,49;43639
"""8595602540747""";10,03;43638
"""8595602540730""";41,65;43637
"""8595602540723""";101,41;43636
"""8595602540808""";10,03;43644
"""8595602540792""";41,65;43643
"""8595602540785""";101,41;43642
"""8595602540013""";7,65;37231
"""8595602539949""";7,65;37232
"""8595602540006""";7,65;37236
"""8595602539970""";7,65;37237
"""8595602539956""";7,65;37230
"""8595602539994""";7,65;37238
"""8595602539932""";7,65;
"""8595602540020""";7,65;37240
"""8595602539987""";7,65;
"""8595602539963""";7,65;37242
"""8595602520114""";9,03;20454
"""8595602520107""";31,28;20456
"""8595602520121""";104,69;20457
"""8595602520237""";9,03;20458
"""8595602520220""";31,28;20459
"""8595602520244""";104,69;20460
"""8595602521074""";9,44;20461
"""8595602521067""";34,04;20462
"""8595602521081""";109,22;20463
"""8595602520145""";9,44;20464
"""8595602520138""";34,04;20466
"""8595602520152""";109,22;20467
"""8595602520176""";9,44;20469
"""8595602520169""";34,04;20470
"""8595602520183""";109,22;20471
"""8595602520206""";9,03;20473
"""8595602520190""";31,28;20474
"""8595602520213""";104,69;20476
"""8595602534425""";2,26;42206
"""8595602534401""";2,26;42205
"""8595602534418""";2,26;42308
"""8595602534432""";2,26;42204
"""8595602534449""";2,26;42203
"""8595602534456""";2,26;42202
"""8595602525065""";29,18;21591
"""8595602518197""";23,33;
"""8595602518203""";42,76;
"""8595602518210""";69,98;
"""8595602509980""";14,80;40108
"""8595602509973""";39,48;7837
"""8595602509966""";133,71;6600
"""8595602509904""";15,20;22270
"""8595602509898""";39,48;14823
"""8595602509881""";92,15;6598
"""8595602510429""";14,82;40109
"""8595602510412""";42,47;14824
"""8595602510405""";135,69;11390
"""8595602510382""";14,65;40110
"""8595602510375""";42,78;14826
"""8595602510368""";135,69;11392
"""8595602510207""";15,90;40111
"""8595602510191""";43,46;14344
"""8595602510184""";145,84;11774
"""8595602510160""";15,58;22273
"""8595602510153""";42,64;11412
"""8595602510139""";142,94;6606
"""8595602510245""";15,97;40112
"""8595602510238""";43,78;14830
"""8595602510221""";147,01;11391
"""8595602510115""";16,28;
"""8595602510108""";44,68;14828
"""8595602510092""";150,21;11767
"""8595602510078""";16,60;22274
"""8595602510061""";45,45;14846
"""8595602510047""";153,03;11789
"""8595602510290""";15,90;40113
"""8595602510283""";43,37;11419
"""8595602510269""";145,53;11832
"""8595602509850""";15,63;40114
"""8595602509843""";42,78;3455
"""8595602509836""";141,37;3454
"""8595602509942""";14,84;22271
"""8595602509935""";39,48;8871
"""8595602509928""";131,72;6599
"""8595602509812""";15,63;22272
"""8595602509805""";42,78;9006
"""8595602509799""";141,37;9011
"""8595602510023""";14,80;40092
"""8595602510016""";39,48;14368
"""8595602510009""";131,72;6607
"""8595602510825""";17,65;40052
"""8595602510818""";43,69;14719
"""8595602510801""";153,43;13009
"""8595602510344""";15,70;40116
"""8595602510337""";42,65;11416
"""8595602510313""";135,69;11100
"""8594031442868""";34,06;11199
"""8594031442844""";21,78;16680
"""8594031442851""";25,92;16161
"""8595602505982""";1,45;11945
"""8595602506033""";1,45;11947
"""8595602506019""";1,45;11946
"""8595602506002""";1,45;11177
"""8595602506026""";1,45;11949
"""8595602505999""";1,45;11948
"""8595602506255""";15,70;
"""8595602506248""";5,27;
"""8595602506262""";5,27;
"""8595602513062""";5,62;
"""8595602513079""";10,75;
"""8595602513086""";17,84;14220
"""8595602513093""";70,09;14229
"""8595602513109""";5,62;
"""8595602513116""";10,75;
"""8595602513123""";17,84;14219
"""8595602513130""";70,09;14227
"""8595602513222""";5,62;
"""8595602513239""";10,75;
"""8595602513246""";17,84;14218
"""8595602513253""";70,09;14226
"""8595602513024""";5,62;
"""8595602513031""";10,75;
"""8595602513048""";17,84;14217
"""8595602513055""";70,09;14225
"""8595602513260""";5,62;14216
"""8595602513277""";10,75;
"""8595602513284""";17,84;
"""8595602513291""";70,09;14224
"""8595602513307""";5,62;
"""8595602513314""";10,75;
"""8595602513321""";17,84;14353
"""8595602513338""";70,09;14223
"""8595602513185""";5,62;14215
"""8595602513192""";10,75;
"""8595602513208""";17,84;15578
"""8595602513215""";70,09;14222
"""8595602513147""";5,62;
"""8595602513154""";10,75;
"""8595602513161""";17,84;14354
"""8595602513178""";70,09;14221
"""8595602518555""";1,45;
"""8595602518524""";1,45;
"""8595602518548""";1,45;
"""8595602518531""";1,45;
"""8595602518579""";1,45;
"""8595602518562""";1,45;
"""8595602518470""";1,45;
"""8595602518463""";1,45;
"""8595602518487""";1,45;
"""8595602518494""";1,45;
"""8595602519415""";5,23;25963
"""8595602519422""";15,40;
"""8595602519392""";5,23;25970
"""8595602519408""";15,40;
"""8595602526116""";3,25;
"""8595602526109""";3,25;
"""8595602526123""";3,25;
"""8595602526130""";3,25;
"""8595602526147""";3,25;
"""8595602526154""";3,25;
"""8595602543694""";14,29;
"""8595602543687""";7,85;44751
"""8595602543670""";14,29;
"""8595602543663""";7,85;44752
"""8595602543809""";14,29;
"""8595602543793""";7,85;44747
"""8595602543762""";7,85;44745
"""8595602543755""";7,85;44741
"""8595602543786""";7,85;44746
"""8595602543717""";14,29;
"""8595602543700""";7,85;44742
"""8595602543830""";7,85;44750
"""8595602543779""";8,34;44748
"""8595602543724""";7,85;44743
"""8595602543823""";14,29;
"""8595602543816""";7,85;44749
"""8595602543748""";14,95;
"""8595602543731""";8,34;44744
"""8595602529735""";4,83;22808
"""8595602529766""";4,83;
"""8595602529728""";4,83;22807
"""8595602529773""";4,83;
"""8595602529797""";4,83;
"""8595602529742""";4,83;22809
"""8595602529780""";4,83;22814
"""8595602529759""";4,83;22810
"""8595602530274""";4,16;22816
"""8595602532315""";7,14;26903
"""8595602530281""";4,16;22817
"""8595602532322""";7,14;26905
"""8595602530304""";4,16;22819
"""8595602532346""";7,14;26907
"""8595602530441""";4,16;
"""8595602532360""";7,14;26912
"""8595602530335""";4,16;22823
"""8595602532384""";7,14;26906
"""8595602530311""";4,16;
"""8595602532353""";7,14;26908
"""8595602530267""";4,16;22815
"""8595602532308""";7,14;26909
"""8595602530298""";4,16;22818
"""8595602532339""";7,14;26910
"""8595602530328""";4,16;
"""8595602532377""";7,14;26911
"""8595602544059""";3,61;
"""8595602544066""";3,61;
"""8595602544073""";3,61;
"""8595602545056""";3,97;
"""8595602545018""";3,97;
"""8595602545025""";3,97;
"""8595602545032""";3,97;
"""8595602545049""";3,97;
"""8595602545063""";3,97;
"""8595602538591""";3,12;
"""8595602538539""";3,12;35453
"""8595602538683""";3,12;35449
"""8595602538621""";3,12;35456
"""8595602538652""";3,12;35458
"""8595602538560""";3,12;35460
"""8595602538607""";5,46;35445
"""8595602538546""";5,46;35463
"""8595602538690""";5,46;35446
"""8595602538638""";5,46;43290
"""8595602538669""";5,46;
"""8595602538577""";5,46;41717
"""8595602526444""";27,29;22371
"""8595602526451""";57,16;22372
"""8595602526468""";100,92;22373
"""8595602526420""";28,32;22369
"""8595602526437""";109,89;22370
"""8595602526475""";27,29;22374
"""8595602526482""";100,92;22375
"""8595602526581""";26,05;22380
"""8595602526604""";94,75;22381
"""8595602526345""";9,21;22361
"""8595602526352""";26,40;22362
"""8595602526369""";56,15;22363
"""8595602526376""";97,10;22364
"""8595602526314""";9,93;22358
"""8595602526321""";28,32;22359
"""8595602526338""";109,89;22360
"""8595602526284""";13,32;22355
"""8595602526291""";27,29;22356
"""8595602526307""";66,62;22357
"""8595602526253""";13,81;22351
"""8595602526260""";28,41;22353
"""8595602526246""";70,47;22354
"""8595602526383""";13,04;22365
"""8595602526390""";26,40;22366
"""8595602526406""";64,69;22367
"""8595602530175""";97,10;22368
"""8595602526611""";11,60;22382
"""8595602526628""";33,24;22383
"""8595602526635""";69,38;22384
"""8595602526642""";127,40;22385
